candidatename,party,age,gender,race,occupation,background,noofterms,currentconstituency,constituencycontesting,ready,leader,newcomer,bp1,bp2,bp3,dob,background2,ntuc,soleleader
Choo Shaun Ming,PSP,23,M,C,Law student,Law,0,N/A,Chua Chu Kang,Y,N,Y,Mr Choo Shaun Ming is an undergraduate student at the NUS Law Faculty.,He is the youngest candidate contesting this general election.,He is contesting an election for the first time.,,,,
Raeesah Khan,WP,27,F,M,Charity director,Charity_social service,0,N/A,Sengkang,Y,N,Y,"Ms Raeesah Khan is the founder and director of programmes at the Reyna Movement, which aims to empower marginalised women.",She has been in grassroots work for the WP.,She is contesting an election for the first time.,1993-11-09T16:00:00.000Z,,,
Sathin Ravindran,NSP,27,M,I,Business owner,Business,0,N/A,Sembawang,Y,N,Y,Mr Sathin Ravindran runs a business providing car detailing services.,,He is contesting an election for the first time.,,,,
Nicholas Tang,RDU,28,M,C,Legal engineer,Law,0,N/A,Jurong,Y,N,Y,"Mr Nicholas Tang is a legal engineer with law firm Pinsent Masons MPillay, where he develops technological solutions to help clients.",He is a trained lawyer.,He is contesting an election for the first time.,,,,
Terence Soon,PSP,29,M,C,Singapore Airlines pilot,Others,0,N/A,Tanjong Pagar,Y,N,Y,Mr Terence Soon is a pilot with Singapore Airlines.,He previously ran an aviation business which he started at the age of 23 while studying business management at RMIT University in Singapore.,He is contesting an election for the first time.,,,,
Nadia Ahmad Samdin,PAP,31,F,M,Lawyer,Law,0,N/A,Ang Mo Kio,Y,N,Y,Ms Nadia Ahmad Samdin is a lawyer and associate director at TSMP Law Corporation. She was briefly a current affairs producer with broadcaster CNA.,She is a district councillor at South East Community Development Council.,She is contesting an election for the first time.,1990-03-21T16:00:00.000Z,Media_PR_Marketing,,
Charles Yeo,RP,30,M,C,Lawyer,Law,0,N/A,Ang Mo Kio,Y,N,Y,"Mr Charles Yeo is a criminal defence lawyer. At the age of 12, he read a collection of RP founder J.B. Jeyaretnam's Parliament speeches. ",This inspired him to join the RP and he is now a member of the party's central executive committee. ,He is contesting an election for the first time.,,,,
Prabu Ramachandran,PV,32,M,I,Business development manager,Business,0,N/A,Pasir Ris-Punggol,Y,N,Y,Mr Prabu Ramachandran is a business development manager at Xingang Investment.,"He had planned to run as an independent candidate in 2015 to prevent any walkovers, but did not do so as all the seats were contested.",He is contesting an election for the first time.,,,,
Louis Chua ,WP,33,M,C,Equity research analyst,Banking_Finance_Investment,0,N/A,Sengkang,Y,N,Y,Mr Louis Chua is an equity research analyst at a global bank. He is a trained chartered accountant.,He was involved in grassroots work as well as parliamentary support work for the WP.,He is contesting an election for the first time.,1987-06-30T16:00:00.000Z,,,
Liyana Dhamirah,RDU,33,F,M,Entrepreneur and author,Business,0,N/A,Jurong,Y,N,Y,Ms Liyana Dhamirah is an entrepreneur and author. ,She is a mother of four who wrote a book about her experience as a homeless person.,She is contesting an election for the first time.,,,,
